"","is","ferdatimi_skoli","styrikerfi_simi","ferdamati_skoli","systkini_fjoldi","dyr","feministi","staerdfraedi_gaman","smjor_kostar","napoleon_faeddur","stefnumot","messi_staerd","kosid"
"188","Súkkulaði",4,"Android","Gangandi / skokkandi",1,"Ketti","Rangt",9,800,1760,"Á kaffihús",162,"Rétt"
"189","Jarðaberja",5,"iOS","Með einkabíl",2,"Hunda","Rangt",9,299,1819,"Á kaffihús",178,"Rétt"
"190","Vanilla",5,"Android","Með einkabíl",9,"Ketti","Rétt",9,468,1877,"Á kaffihús",154,"Rétt"
"191","Vanilla",10,"Android","Með einkabíl",3,"Hunda","Rétt",8,730,1740,"Á kaffihús",160,"Rétt"
"192","Súkkulaði",25,"iOS","Með einkabíl",1,"Hunda","Rétt",8,650,1750,"Á kaffihús",173,"Rétt"
"193","Súkkulaði",15,"iOS","Með einkabíl",1,"Ketti","Rétt",4,300,1829,"Á ísrúnt",176,"Rangt"
"194","Jarðaberja",15,"Android","Með einkabíl",3,"Hunda","Rétt",5,415,1769,"Á kaffihús",171,"Rétt"
"195","Vanilla",75,"iOS","Með strætó",2,"Ketti","Rétt",9,800,1777,"Á ísrúnt",185,"Rétt"
"196","Vanilla",3,"iOS","Gangandi / skokkandi",2,"Hunda","Rétt",2,400,1736,"Í fjallgöngu",167,"Rétt"
"197","Súkkulaði",20,"Android","Með einkabíl",2,"Hunda","Rétt",6,700,1780,"Á kaffihús",170,"Rétt"
"198","Súkkulaði",40,"iOS","Með einkabíl",2,"Hunda","Rétt",7,300,1750,"Á kaffihús",174,"Rangt"
"199","Súkkulaði",20,"iOS","Með einkabíl",1,"Ketti","Rétt",7,632,1789,"Á ísrúnt",168,"Rétt"
"200","Vanilla",15,"iOS","Með einkabíl",2,"Ketti","Rétt",9,400,1759,"Í bíó",160,"Rétt"
"201","Vanilla",7,"iOS","Á hjóli / rafhlaupahjóli",1,"Ketti","Rétt",6,850,1701,"Í bíó",168,"Rétt"
